n_train,opt_method,signal_noise,length_scale,dgl_parameter
12,CG,1.7426777900154742,2.0713258465295827,1.0017290585300755
12,CG,1.4521915671536658,1.9810862275780483,0.9885231050682531
12,CG,1.388676529507378,1.9604651110343996,0.9953749337354939
12,CG,1.389744395386091,1.958690404867304,1.0007618832666259
12,CG,1.4072734278485504,1.9287368728809045,1.0006362704368088
12,CG,1.4072010915434212,1.9286989818310998,1.0005857102946358
12,CG,1.4050506013154074,1.9275929100917721,1.0006215923612913
12,CG,1.4050468403289385,1.9275779017492072,1.0006375815511834
12,CG,1.4050046409791213,1.9274193210461155,1.0006351575809873
12,CG,1.4049888403443542,1.927412085020412,1.0006246491790582
12,CG,1.4045259671550094,1.927202876448237,1.0006321969891372
12,CG,1.4045270585335996,1.9271923811908482,1.000637790919789
12,CG,1.404531305536224,1.9271427776149652,1.00063443052159
12,CG,1.4044200012796584,1.9270867474596636,1.0006348412975445
14,CG,1.4797584083197122,2.395959905526442,0.9094166552173579
14,CG,1.6244443205720955,2.2759354700826684,1.0124420476826945
14,CG,1.670915624951042,2.2129627201745863,0.9835369174322052
14,CG,1.755093678191945,2.0823362454389924,1.0024136803316193
14,CG,1.7544254582095147,2.0735661796204754,0.9997940347110751
14,CG,1.7436143008424057,2.0407526499085917,1.003631150465853
14,CG,1.7322671842359103,2.0226127199598642,1.0005158521094661
14,CG,1.6836098653480873,1.973220189723564,1.0050966618768744
14,CG,1.626207169070556,1.9297718027217363,0.9989128712152181
14,CG,1.5534550741170652,1.882838884050992,1.0005194607483097
14,CG,1.549383151217582,1.8891789698981238,1.0067943486552489
14,CG,1.513047795478655,1.944895400133583,1.0043499119766894
14,CG,1.5125138038053627,1.9452036923530887,1.0022649009736508
14,CG,1.4955033585332824,1.9553502928217874,1.0022981639444979
14,CG,1.4900883958080382,1.9524191529707005,1.001134506275795
14,CG,1.4623684813808637,1.936449553976461,1.0021594242220837
14,CG,1.4623964828132054,1.936243202929406,1.0024480206977315
14,CG,1.4627882526502154,1.9331410431666538,1.0024081229903306
